estacion,cluster,ipd_mean,ipd_max
21 Ángeles,1,0.035188287203307494,0.1567391734201785
7 de agosto,1,0.11406103983969906,0.4370705995496144
AV. 39,1,0.09231997511946198,0.39150815783601695
AV. 68,1,0.14584925549552838,0.6023147678752707
AV. Américas - AV. Boyacá,1,0.10186603568017967,0.30606848121681596
AV. Cali,1,0.08421099417076672,0.3825857545416032
AV. Chile,0,0.17315854837470332,0.8547120526402663
AV. El Dorado,1,0.09282912386629079,0.5024913304343039
AV. Jiménez,0,0.17646984148177233,0.6554234070762558
AV. Rojas - UNISALESIANA,1,0.08197617198869403,0.3334795085081773
AV. Suba - Calle 116,1,0.10554189318751694,0.47303767542416264
Alcalá - Col. S. Tomás Dominicos,1,0.11541498332955225,0.3585657782060734
Alquería,1,0.12722592223531168,0.30669903314187147
Banderas,2,0.22031717582610053,0.9710044465528768
Biblioteca,1,0.04870330166121312,0.16971394908604573
Biblioteca Tintal,1,0.11089899861415277,0.6074830479270146
Bicentenario,1,0.04167388510512401,0.17593840186581042
Bosa,2,0.17601516847271984,0.9537350177379379
Boyacá,1,0.1465443899570141,0.3926242158386104
C. Universitaria - Lotería de Btá.,1,0.0772975837214173,0.2281656630071541
CAD,1,0.15198341272601584,0.7365934183728158
CAN - British Council,1,0.11711796883381585,0.5625396807850904
CDS - Cra. 32,1,0.10280367347289791,0.5219801270303577
Calle 100 - Marketmedios,0,0.37502194612714684,1.6842814533534036
Calle 106,0,0.17381723526118573,0.8426290496194834
Calle 127,1,0.13821236583726385,0.5066654144513911
Calle 142,1,0.06371053190321845,0.1941516546038235
Calle 146,1,0.0676352091883594,0.25784000020989106
Calle 161,1,0.02754622080369318,0.08406368745268616
Calle 187,1,0.08330468365865516,0.2794525059789986
Calle 19,1,0.06418574130490969,0.27185908718558505
Calle 26,1,0.08111468999442646,0.4764484881794383
Calle 45 - American School Way,0,0.25841762367988647,0.7462447990323611
Calle 63,0,0.2906877639069783,0.8384775632983484
Calle 72,1,0.1489931845726444,0.6323237386926269
Calle 76,0,0.2024498683494871,0.8762448073904777
Calle 85 - GATO DUMAS,1,0.1250750583954008,0.6031566120951719
Campín - UAN,3,0.19667068335864504,0.7467935203453836
Centro Memoria,1,0.06848143574411358,0.3154038621623241
Ciudad Jardín - UAN,1,0.09689004944358619,0.3541350278996704
Comuneros,0,0.24088279481940444,0.6764788927976301
Concejo de Bogotá,1,0.04594354169066275,0.17458415146312434
Consuelo,1,0.030535299227461187,0.1552678491313112
Corferias,1,0.09945459005614797,0.37682170018053857
Country Sur,1,0.1287197283709962,0.5875823154526449
Danubio,1,0.03157078023250059,0.15263526205632616
De la Sabana,0,0.20892505985323898,0.7763548932600276
Distrito Grafiti,0,0.20131046122767518,0.7635742680738075
El Tiempo - CCB,1,0.11866584544216759,0.5240010171506917
Escuela Militar,1,0.019984436840212148,0.09263139276391054
Ferias,1,0.08618083346290832,0.30657515582847866
Fucha,1,0.10347825318286742,0.2503446844684324
Gobernación,1,0.10285152266914072,0.6098660219968003
Gral. Santander,1,0.06566382148752924,0.28494323032385704
Granja - KR 77,1,0.07556238146370799,0.27706269922368354
Gratamira,1,0.02954979499361662,0.11411400580825225
Hortúa,1,0.1048732805452427,0.2662467493022563
Hospital,1,0.02660705471779577,0.06041639419214373
Humedal Córdoba,1,0.10940658407148555,0.3598127604297856
Héroes,1,0.1374343455540024,0.5907215144416172
KR 43 - COMAPAN,0,0.2680175960329512,1.2645988860642647
KR 47,1,0.066207690014934,0.24113196603863848
KR 53,0,0.2746025424122293,1.0121315625707175
KR 90,1,0.07167657734254151,0.27567123792593545
La Campiña,1,0.028417804853183033,0.14450158082081502
La Castellana,1,0.12627177361878772,0.7137661372445963
La Despensa,1,0.04667092750305497,0.24513697222325728
Las Aguas - C. Col Americano,0,0.23926857022704393,0.944383999714153
Las Nieves,0,0.1811409677355688,0.8060522209695529
León XIII,1,0.12632318688767888,0.6702177726012903
Mandalay,1,0.042527291328611216,0.18375763033237638
Marsella,1,0.1034194398470264,0.34906001273594833
Mazurén,1,0.06520311470078363,0.23435712727940214
Minuto de Dios,1,0.08570092554295523,0.20134622972097638
Modelia,1,0.055334617424128894,0.21260346620156687
Molinos,1,0.10444029758046551,0.5364544930472666
Movistar Arena,3,0.16252515453636937,0.7089457901474429
Museo Nacional - FNG,1,0.13389755820508498,0.7424114876012979
Museo del Oro,0,0.312231568879966,1.2993126385809313
NQS - Calle 30 S.,1,0.09211139430983085,0.2658396168665326
NQS - Calle 38A S.,0,0.20297056191219798,0.4497087385069988
NQS - Calle 75,1,0.09544166248942272,0.51385883401222
Nariño,1,0.08350454392097685,0.2275919620245048
Niza - Calle 127,1,0.13446020923512106,0.5187106390061615
Normandía,1,0.12006871301228843,0.37170582494991333
Olaya,1,0.09930052165243736,0.25579123827163
Paloquemao,0,0.1911053743385329,0.8984112875693112
Parque,1,0.06033490064957353,0.2549783962824693
Paseo Villa del Río - Madelena,1,0.09809300626131823,0.5055508182276689
Patio Bonito,1,0.03588998842915459,0.1558456018604614
Pepe Sierra,1,0.14101659281422477,0.6835124238330114
Perdomo,1,0.070755152732031,0.38544716029436726
Policarpa,0,0.27567014194102013,0.6356712491513917
Polo - FINCOMERCIO,1,0.07242285341155955,0.3955034931878951
Portal 20 de Julio,2,0.24999661108689109,1.1762212887531116
Portal 80,2,0.2599257139399113,1.0142703620928932
Portal Américas,2,0.280294002985922,1.2970075489241122
Portal Eldorado - C.C. NUESTRO BOGOTÁ,2,0.25767034481195156,0.7568621273587102
Portal Norte,2,0.21345380629375654,0.6739079717579863
Portal Suba,2,0.22838936777324217,1.1257075434748551
Portal Sur - JFK Coop. financ.,2,0.22556592853487056,1.150388263646027
Portal Tunal,2,0.2720212871643047,1.1486686278946971
Portal Usme,2,0.15752524899135,0.7854528335434648
Pradera - Plaza Central,0,0.5186062248008493,1.6102236082824168
Prado,1,0.06832139893658448,0.2316814930578683
Puente Aranda,1,0.12146603066010614,0.5489048890670364
Puentelargo,1,0.08577207701924132,0.3996930462612744
Quinta Paredes,1,0.08381001427819583,0.3276070440550581
Quirigua,1,0.049923161734276245,0.23872432908779873
Quiroga,1,0.028589243704674413,0.10944020980227555
Restrepo,1,0.12706943013411098,0.3056042310831628
Ricaurte,1,0.10173771251101328,0.5445563490838702
Rionegro,1,0.10826028371726117,0.5572060715860452
SENA,1,6.388415672913117e-05,0.001533219761499148
Salitre - El Greco,1,0.07516126090790658,0.2348500171705248
San Bernardo,1,0.09418822839735456,0.23124609913934696
San Diego,1,0.05526827465598858,0.274161389273931
San Façon - KR 22,0,0.23738931745143624,0.9673557631109979
San Martín,1,0.024376885198490645,0.135430666985496
San Mateo,2,0.3136293999593988,1.475337425001376
San Victorino,0,0.29477196725005905,1.1733673647383822
Santa Isabel,1,0.09505492995485969,0.3097394426348731
Santa Lucía,1,0.11023807919974292,0.4482910008413036
Sevillana,1,0.06396008325128609,0.25096351108270026
Socorro,1,0.018287232451824575,0.07536774865756452
Suba - AV. Boyacá,1,0.13781702267170232,0.4914696210672858
Suba - Calle 100,0,0.16916059553625595,0.8299589988208812
Suba - Calle 95,0,0.2682294995421028,1.237197683299389
Suba - TV 91,1,0.07674306692528622,0.3390175630087341
TV 86,1,0.08019326511968979,0.48022477896771787
Temporal - Calle 22,1,0.07077321353086553,0.2532112506571422
Temporal - Calle 34,0,0.22220326881413563,1.1054862974979027
Temporal - Calle 57,0,0.25096059952705607,0.8756364638099273
Temporal - Flores,0,0.2458767864253053,1.023017331276462
Temporal - Marly,0,0.30523668688814254,0.7897164538966372
Tercer Milenio,1,0.055525599174086566,0.19152297740098415
Terminal,1,0.11479091717825775,0.40725878309572305
Terreros - Hospital C.V.,2,0.18423030274079868,1.068193978593393
Toberín - Foundever,1,0.07688462516977634,0.2836775655472311
U. Nacional,0,0.1624795106098161,0.5343282674742822
Universidades - CityU,1,0.07216282440029369,0.24920739078819826
Venecia,1,0.10754983545962334,0.3985315843980283
Virrey,1,0.11238826529541279,0.6190306341762449
Zona Industrial,1,0.13532910695997405,0.6763588000376891
